
2016-01-09 17:42:58 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Usuarios::index, res= true
2016-01-09 17:43:07 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::edit, res= true
2016-01-09 17:43:12 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::edit, res= true
2016-01-09 17:43:15 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-09 17:43:21 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::edit, res= true
2016-01-09 17:43:36 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::edit, res= true
2016-01-09 17:44:03 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::edit, res= true
2016-01-09 17:44:06 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-09 17:44:10 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::edit, res= true
2016-01-09 17:44:17 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-09 17:44:23 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::edit, res= true
2016-01-09 17:44:26 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-09 17:44:29 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::view, res= true
2016-01-09 17:44:37 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-09 17:44:46 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::add, res= true
2016-01-09 17:45:32 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::add, res= true
2016-01-09 17:47:35 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::add, res= true
2016-01-09 17:49:25 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::add, res= true
2016-01-09 17:49:29 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-09 17:49:34 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-09 18:02:47 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Recetas::index, res= true
2016-01-09 18:03:01 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Recetas::index, res= true
2016-01-09 18:03:09 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Recetas::add, res= true
2016-01-09 18:03:36 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Usuarios::logout, res= true
2016-01-09 18:05:33 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Ingredientes::index, res= true
2016-01-11 11:19:33 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Recetas::index, res= true
2016-01-11 11:19:56 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= RecetaPasos::index, res= true
2016-01-11 11:20:43 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Recetas::index, res= true
2016-01-11 11:20:46 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= RecetaPasos::index, res= true
2016-01-11 11:27:59 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= RecetaPasos::index, res= true
2016-01-11 11:29:07 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Recetas::index, res= true
2016-01-11 11:34:48 Debug: App\Controller\AppController::isAuthorized[128] rol= A, acceso= Recetas::add, res= true
